keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
bounce house rental,USD,110000,0%,-33%,High,84,0.79,2.13,,,,,,135000,135000,110000,90500,60500,40500,74000,74000,110000,110000,135000,110000,deprioritize_rental
bounce house,USD,110000,23%,0%,High,100,0.33,1.86,,,,,,110000,110000,110000,90500,74000,74000,74000,74000,135000,110000,135000,135000,other
bounce house for sale,USD,22200,0%,0%,High,100,0.23,0.98,,,,,,27100,22200,22200,18100,14800,12100,12100,14800,27100,27100,27100,27100,secondary
bounce house rentals near me,USD,49500,0%,0%,Medium,62,0.71,2.21,,,,,,60500,60500,60500,49500,22200,27100,33100,33100,60500,60500,74000,60500,deprioritize_rental
jumping castle,USD,1900,0%,-21%,High,100,0.38,1.89,,,,,,1900,1600,1900,1900,1900,1300,1600,1600,2400,1900,1900,1900,other
inflatable rentals near me,USD,12100,50%,0%,Medium,62,0.68,1.99,,,,,,22200,14800,14800,9900,4400,3600,8100,8100,14800,14800,18100,22200,deprioritize_rental
bouncy castle rental,USD,6600,0%,-91%,Medium,67,0.54,1.81,,,,,,33100,5400,6600,5400,8100,1300,1600,1900,3600,3600,3600,3600,deprioritize_rental
white bounce house,USD,5400,-18%,-18%,High,100,0.31,1.65,,,,,,6600,6600,6600,5400,3600,2900,5400,4400,6600,6600,6600,5400,other
commercial bounce house,USD,3600,23%,0%,High,100,0.29,1.54,,,,,,5400,4400,3600,3600,2400,1600,2400,2400,4400,4400,5400,5400,primary
water slides for sale,USD,8100,124%,0%,High,100,0.20,0.87,,,,,,18100,6600,3600,1300,1000,1000,1600,2400,8100,9900,14800,22200,secondary
inflatable bounce house,USD,12100,-18%,-18%,High,99,0.30,1.59,,,,,,14800,18100,14800,12100,9900,9900,8100,8100,14800,14800,14800,12100,other
inflatables,USD,27100,22%,0%,High,94,0.47,3.13,,,,,,33100,27100,27100,49500,27100,27100,22200,18100,27100,27100,33100,33100,other
water bounce house,USD,9900,124%,-18%,High,100,0.35,1.65,,,,,,22200,8100,2900,1600,1300,1300,1900,3600,9900,12100,22200,27100,other
inflatable rentals,USD,9900,22%,-18%,High,68,0.71,1.97,,,,,,18100,14800,12100,8100,4400,2900,4400,5400,9900,12100,14800,14800,deprioritize_rental
water bounce house rental,USD,2900,125%,-18%,High,100,0.69,1.95,,,,,,8100,2900,720,260,140,170,390,720,2400,3600,6600,8100,deprioritize_rental
indoor bounce house,USD,9900,0%,-19%,High,100,0.21,1.25,,,,,,9900,8100,9900,12100,18100,18100,12100,8100,8100,6600,6600,6600,other
commercial bounce house for sale,USD,2900,0%,0%,High,100,0.31,1.83,,,,,,3600,2900,2900,2900,1900,1600,1900,2400,3600,3600,3600,3600,primary
inflatable slide,USD,5400,83%,0%,High,100,0.33,1.73,,,,,,9900,5400,4400,2900,2400,1900,1900,2400,5400,6600,8100,12100,other
bounce houses near me,USD,22200,0%,-18%,High,89,0.90,2.65,,,,,,27100,27100,22200,22200,18100,14800,22200,18100,27100,22200,22200,22200,deprioritize_rental
bouncy castle for sale,USD,480,-33%,-33%,High,100,0.22,1.14,,,,,,590,480,480,390,390,480,390,320,590,720,720,480,secondary
water slide bounce house,USD,12100,124%,-18%,High,100,0.38,1.75,,,,,,27100,14800,5400,2400,1900,1900,2900,4400,12100,14800,22200,33100,other
jump house rentals,USD,4400,-19%,-33%,High,73,0.69,2.07,,,,,,5400,5400,6600,4400,2900,1900,2900,2900,5400,5400,5400,4400,deprioritize_rental
inflatables near me,USD,4400,22%,0%,High,73,0.88,2.27,,,,,,6600,5400,5400,4400,2400,1900,3600,2900,5400,5400,5400,6600,deprioritize_rental
adult bounce house rental,USD,1600,-21%,-34%,Medium,65,0.61,1.85,,,,,,2900,1900,1300,1000,1000,590,1000,880,1900,2400,2400,1900,deprioritize_rental
inflatable water slides,USD,49500,173%,-18%,High,100,0.35,1.70,,,,,,110000,49500,18100,6600,4400,4400,6600,12100,40500,49500,90500,135000,other
inflatable obstacle course,USD,6600,0%,-18%,High,100,0.43,1.84,,,,,,9900,9900,6600,5400,3600,2900,3600,4400,6600,8100,9900,8100,other
inflatable slide rental,USD,2400,83%,0%,High,83,0.75,2.00,,,,,,5400,2900,1600,1300,720,390,880,1000,1900,2400,3600,4400,deprioritize_rental
inflatables for sale,USD,1600,0%,-21%,High,100,0.31,2.38,,,,,,2400,1600,1300,1600,1600,1600,1300,1000,1900,1900,2400,1900,secondary
jumpers for sale,USD,1900,0%,-17%,High,100,0.13,1.03,,,,,,2900,1900,1900,1900,1900,1600,1900,1900,2400,2400,2900,2400,secondary
commercial water slide,USD,2900,125%,0%,High,100,0.32,1.96,,,,,,5400,2400,1300,590,390,390,590,1000,2900,3600,5400,8100,primary
jumping castle for sale,USD,260,0%,0%,High,100,0.23,1.11,,,,,,260,170,210,170,260,170,210,260,320,260,320,260,secondary
bounce house with slide,USD,5400,23%,0%,High,100,0.40,1.76,,,,,,6600,5400,5400,4400,4400,2900,2900,3600,6600,6600,8100,8100,other
obstacle course bounce house,USD,4400,0%,0%,High,100,0.57,1.91,,,,,,4400,5400,5400,4400,3600,2400,2900,3600,5400,5400,6600,5400,other
bounce house rentals atlanta,USD,590,-33%,-55%,High,98,1.23,2.73,,,,,,880,720,720,720,320,260,390,480,880,880,880,590,deprioritize_rental
water inflatables,USD,3600,125%,0%,High,100,0.31,1.75,,,,,,6600,2900,1000,590,590,480,880,1000,3600,4400,6600,9900,other
commercial inflatables,USD,1000,60%,0%,High,100,0.41,2.68,,,,,,1300,1000,1000,720,590,480,590,720,1000,1000,1300,1600,primary
waterslide for sale,USD,2400,86%,-33%,High,100,0.24,1.04,,,,,,6600,2400,1000,480,320,140,260,480,1900,2900,4400,5400,secondary
water slide bounce house rental,USD,2900,125%,0%,High,99,0.72,2.00,,,,,,6600,3600,1000,390,260,260,590,880,2400,3600,5400,8100,deprioritize_rental
bouncy castle rental near me,USD,590,22%,0%,High,71,0.79,2.30,,,,,,720,1000,1300,590,320,170,320,260,590,720,880,880,deprioritize_rental
water slides rentals,USD,40500,122%,0%,High,75,0.70,1.95,,,,,,110000,49500,18100,6600,2900,2400,6600,9900,40500,49500,74000,110000,deprioritize_rental
buy bounce house,USD,2400,0%,0%,High,100,0.26,1.27,,,,,,2900,2900,2900,2400,1600,1000,1600,1600,2900,2900,2900,2900,secondary
white bounce house for sale,USD,480,-34%,-34%,High,100,0.30,1.50,,,,,,390,590,480,390,320,210,480,390,590,590,590,390,secondary
inflatable bounce house for sale,USD,1300,0%,-32%,High,100,0.27,1.38,,,,,,1600,2400,2400,1300,1000,880,880,880,1300,1300,1300,1300,secondary
bouncy castle to buy,USD,480,-33%,-33%,High,100,0.22,1.14,,,,,,590,480,480,390,390,480,390,320,590,720,720,480,other
moon bounce,USD,12100,-33%,0%,High,86,0.36,2.04,,,,,,8100,12100,18100,18100,14800,9900,8100,9900,14800,14800,9900,9900,other
jump house rentals near me,USD,49500,0%,0%,Medium,62,0.71,2.21,,,,,,60500,60500,60500,49500,22200,27100,33100,33100,60500,60500,74000,60500,deprioritize_rental
inflatable water slides for sale,USD,4400,23%,-33%,High,100,0.27,1.28,,,,,,12100,4400,1900,720,590,590,3600,880,4400,6600,5400,8100,secondary
bounce house purchase,USD,2400,0%,0%,High,100,0.26,1.27,,,,,,2900,2900,2900,2400,1600,1000,1600,1600,2900,2900,2900,2900,other
small bounce house rental,USD,1000,0%,0%,High,100,0.79,1.93,,,,,,1000,2400,1900,1300,1000,590,880,720,1000,880,880,880,deprioritize_rental
inflatable water slide for adults,USD,4400,175%,-33%,High,100,0.28,1.59,,,,,,14800,4400,1600,590,390,480,590,880,3600,4400,8100,12100,other
water jumping castle,USD,140,86%,0%,High,99,0.42,1.69,,,,,,210,110,40,20,20,10,30,50,210,210,260,390,other
bounce house atlanta,USD,1600,-16%,-16%,Medium,47,1.02,2.68,,,,,,1900,1600,1600,1600,1000,880,1600,1300,1900,1900,2400,1600,other
commercial inflatable water slides,USD,1300,177%,0%,High,100,0.32,1.75,,,,,,2900,1600,880,390,210,210,260,320,880,1300,1900,3600,primary
jumping castle rental,USD,1000,0%,0%,Medium,56,0.79,2.08,,,,,,880,1000,1000,1000,880,480,880,1300,1300,1000,1000,1000,deprioritize_rental
inflatable insurance,USD,170,0%,-33%,High,76,5.69,19.14,,,,,,260,210,170,110,70,70,110,140,210,260,260,260,other
obstacle course bounce house rental,USD,1000,-45%,-32%,High,86,0.71,2.00,,,,,,1000,1000,1600,1300,720,480,880,880,1300,1600,1300,880,deprioritize_rental
bounce house for adults,USD,4400,22%,-19%,High,100,0.26,1.69,,,,,,6600,5400,4400,3600,2900,2400,3600,2900,5400,5400,6600,6600,other
cheap bounce house rentals near me,USD,480,22%,22%,High,86,0.68,1.94,,,,,,480,590,590,480,390,210,320,320,590,590,720,720,deprioritize_rental
bounce house rental san antonio,USD,720,-33%,-19%,High,82,0.61,1.67,,,,,,590,590,1300,1000,720,480,720,720,1000,720,590,480,deprioritize_rental
large bounce house,USD,1300,23%,-16%,High,100,0.28,1.46,,,,,,1300,1300,1300,1000,880,880,720,880,1600,1300,1600,1600,other
cheap bounce house rentals,USD,1300,0%,-16%,High,85,0.71,1.95,,,,,,1600,1600,1600,1300,720,480,590,720,1600,1600,1900,1600,deprioritize_rental
jumpy house,USD,1600,0%,-16%,High,100,0.48,2.03,,,,,,1900,1600,1600,1300,1300,1000,1000,1000,1600,1600,1900,1600,other
industrial bounce house,USD,480,22%,0%,High,100,0.26,1.28,,,,,,720,590,480,390,390,210,260,320,590,590,720,720,other
water slide jumping castle,USD,70,22%,-35%,High,97,0.39,1.85,,,,,,140,90,40,40,20,20,20,30,90,90,90,110,other
inflatable jump house,USD,12100,-18%,-18%,High,99,0.30,1.59,,,,,,14800,18100,14800,12100,9900,9900,8100,8100,14800,14800,14800,12100,other
bounce house rental los angeles,USD,480,-19%,0%,High,78,1.11,4.84,,,,,,590,390,480,480,390,320,390,390,480,480,480,390,deprioritize_rental
inflatable house,USD,4400,0%,50%,High,100,0.14,1.50,,,,,,4400,3600,4400,5400,4400,3600,3600,4400,4400,6600,5400,6600,other
commercial water slides for sale,USD,880,140%,26%,High,100,0.31,2.19,,,,,,1900,880,390,210,170,170,260,320,880,1000,1600,2400,primary
inflatable playground,USD,880,-12%,-70%,High,100,0.28,1.35,,,,,,1300,1300,880,880,880,720,880,720,1000,1000,1000,880,other
water slide jumper,USD,1900,132%,-33%,High,100,0.45,1.79,,,,,,5400,1900,880,320,210,210,320,480,2400,1900,2400,4400,other
large inflatable water slide,USD,2400,175%,0%,High,100,0.32,1.71,,,,,,5400,2900,1600,720,590,480,480,720,1900,2400,4400,6600,other
blow up bounce house,USD,12100,-18%,-18%,High,99,0.30,1.59,,,,,,14800,18100,14800,12100,9900,9900,8100,8100,14800,14800,14800,12100,other
big bounce house,USD,2400,21%,-19%,High,100,0.25,1.65,,,,,,2900,2900,2900,1900,1300,1000,1300,1300,2400,2400,2900,2900,other
bounce house wholesale,USD,480,0%,0%,High,100,0.43,2.31,,,,,,480,480,590,320,320,260,390,390,590,590,590,590,primary
inflatable castle,USD,880,14%,-23%,High,99,0.32,1.74,,,,,,880,720,880,880,880,720,590,480,880,880,880,1000,other
blow up rentals,USD,720,0%,-23%,High,70,0.60,1.88,,,,,,1300,880,720,480,320,260,390,480,880,1000,1000,1000,deprioritize_rental
jump house for sale,USD,880,-12%,-12%,High,100,0.21,1.14,,,,,,1000,880,1300,880,720,480,720,720,1000,1000,1000,880,secondary
moon bounce for sale,USD,590,-18%,-28%,High,100,0.21,1.07,,,,,,880,880,590,590,390,260,390,480,720,880,880,720,secondary
water bounce house for sale,USD,590,82%,-33%,High,100,0.28,1.19,,,,,,1600,720,260,90,90,70,140,210,720,880,1300,1600,secondary
unicorn bounce house,USD,720,-18%,-28%,High,100,0.49,1.98,,,,,,880,880,880,720,590,480,590,590,880,880,880,720,other
inflatable slides for sale,USD,390,23%,-33%,High,100,0.26,1.18,,,,,,720,480,390,320,320,210,260,260,390,480,480,590,secondary
water bouncy castle,USD,140,86%,0%,High,100,0.39,1.81,,,,,,260,140,70,50,50,30,70,90,170,210,260,390,other
inflatable bouncy castle,USD,720,0%,-41%,High,100,0.31,1.80,,,,,,1300,1300,1600,590,590,320,390,390,590,590,590,590,other
unicorn bounce house rental,USD,210,-19%,53%,High,100,1.12,2.26,,,,,,210,260,320,210,140,140,210,170,320,320,260,260,deprioritize_rental
bounce house with blower,USD,4400,22%,-19%,High,100,0.24,0.92,,,,,,8100,5400,4400,3600,2900,2400,2400,2400,4400,5400,6600,6600,other
dinosaur bounce house,USD,1000,-23%,-23%,High,100,0.47,1.94,,,,,,1300,1300,1300,1000,880,720,880,1000,1300,1300,1300,1000,other
bouncer rentals,USD,1900,0%,-17%,Medium,63,0.73,2.28,,,,,,2900,2400,2400,1900,1300,880,1000,1300,1900,2400,2400,2400,deprioritize_rental
commercial inflatables for sale,USD,390,23%,-33%,High,100,0.48,2.95,,,,,,480,320,390,260,140,170,320,260,590,390,480,480,primary
monster truck bounce house,USD,1300,-38%,0%,High,100,0.73,2.02,,,,,,1600,1900,1600,1300,880,720,1300,1300,1900,1600,1600,1000,other
commercial bounce house with slide,USD,320,0%,-19%,High,100,0.38,1.61,,,,,,390,320,320,260,260,210,210,210,480,480,590,480,primary
adult bounce houses for sale,USD,320,23%,-19%,High,100,0.21,0.89,,,,,,480,320,260,260,210,170,170,170,390,390,390,480,secondary
commercial bounce house wholesale,USD,90,29%,29%,High,100,0.45,2.69,,,,,,70,70,260,90,90,70,30,40,90,70,70,90,primary
bounce house with slide rental,USD,880,14%,-38%,High,98,0.80,2.21,,,,,,1300,1000,1000,880,480,320,480,480,1000,880,1000,1000,deprioritize_rental
jump houses near me,USD,4400,0%,-18%,High,68,0.67,2.41,,,,,,4400,4400,3600,3600,4400,3600,4400,4400,5400,3600,3600,3600,deprioritize_rental
best bounce houses,USD,480,0%,-18%,High,99,0.48,1.44,,,,,,590,590,590,480,590,390,210,260,590,590,720,590,other
white inflatable bounce house,USD,320,-19%,-33%,High,100,0.27,1.53,,,,,,390,390,320,320,260,210,320,260,390,320,260,260,other
party jumpers,USD,720,0%,0%,High,92,0.60,2.24,,,,,,880,720,720,720,590,480,720,720,880,880,880,880,other
buy jumping castle,USD,30,0%,-40%,High,100,0.27,2.81,,,,,,30,30,20,30,20,10,20,30,30,30,50,30,secondary
large bounce house for sale,USD,390,23%,-33%,High,100,0.25,1.24,,,,,,480,590,480,390,260,210,260,260,390,390,480,480,secondary
inflatable jumping castle,USD,720,0%,-41%,High,100,0.31,1.80,,,,,,1300,1300,1600,590,590,320,390,390,590,590,590,590,other
bounce house manufacturers,USD,260,-19%,-33%,High,100,0.54,3.08,,,,,,260,320,390,210,110,170,210,170,320,320,260,260,primary
princess bounce house,USD,880,0%,14%,High,100,0.37,1.69,,,,,,1000,1000,1000,880,720,590,720,1000,1000,1000,1000,1000,other
indoor bounce house rental,USD,480,-19%,-33%,High,99,0.75,1.94,,,,,,390,480,590,720,880,590,880,480,320,320,260,260,deprioritize_rental
rent inflatable bounce house,USD,8100,-17%,-70%,High,76,0.75,2.03,,,,,,12100,14800,27100,18100,1600,1900,3600,2400,2900,2900,2400,2400,deprioritize_rental
bouncer rentals near me,USD,1300,0%,-33%,High,75,0.89,2.43,,,,,,1900,1900,1900,1300,720,590,880,880,1600,1600,1600,1600,deprioritize_rental
commercial inflatable bounce house,USD,260,22%,50%,High,100,0.30,1.83,,,,,,260,260,390,210,210,210,170,210,320,320,390,390,primary
inflatable jump house rental,USD,210,-19%,-83%,High,96,0.78,2.22,,,,,,210,880,170,140,110,70,90,110,170,210,170,170,deprioritize_rental
water jumper,USD,1300,123%,-19%,High,100,0.37,1.70,,,,,,2900,1900,720,390,320,390,590,590,1900,1300,1900,2900,other
moonwalks for sale,USD,320,-46%,-46%,High,100,0.21,0.92,,,,,,390,260,260,260,260,260,260,260,390,480,320,260,secondary
outdoor bounce house,USD,880,-23%,-23%,High,100,0.28,1.41,,,,,,880,880,880,720,720,590,590,590,1300,1300,1300,1000,other
water blow up slide,USD,480,171%,-16%,High,100,0.35,1.75,,,,,,1000,390,110,50,40,30,70,140,590,590,1000,1600,other
castle bounce house,USD,1300,0%,-16%,High,98,0.38,1.90,,,,,,1600,1600,1600,1300,1000,880,1000,1000,1600,1600,1600,1600,other
inflatable bouncer,USD,590,-33%,-19%,High,99,0.28,2.09,,,,,,720,720,880,720,390,590,480,390,590,720,590,480,other
inflatable slide rental near me,USD,390,49%,-12%,High,77,0.74,2.22,,,,,,880,590,480,320,140,90,170,170,320,590,590,880,deprioritize_rental
used bounce house for sale,USD,590,-18%,-28%,High,100,0.13,0.96,,,,,,880,720,720,590,390,390,320,480,720,880,880,720,secondary
white castle bounce house,USD,390,-19%,-19%,High,100,0.33,1.79,,,,,,480,480,480,390,260,260,390,320,480,480,390,390,other
party inflatables,USD,480,0%,-18%,High,100,0.45,1.95,,,,,,590,480,390,480,320,260,390,390,590,590,590,590,other
buy inflatable bounce house,USD,1300,0%,-32%,High,100,0.27,1.38,,,,,,1600,2400,2400,1300,1000,880,880,880,1300,1300,1300,1300,secondary
moon jumps for sale,USD,320,-46%,-34%,High,100,0.21,0.92,,,,,,320,320,260,210,260,210,260,320,480,390,320,210,secondary
cheap bounce house,USD,880,30%,-19%,High,100,0.23,1.51,,,,,,1000,1000,1000,880,720,590,590,590,1000,1000,1300,1300,other
bounce house business,USD,320,-18%,-46%,High,97,0.35,3.06,,,,,,480,320,260,260,210,210,320,260,390,390,390,320,other
bouncy water slide,USD,49500,173%,-18%,High,100,0.35,1.70,,,,,,110000,49500,18100,6600,4400,4400,6600,12100,40500,49500,90500,135000,other
blow up bounce house rental,USD,480,0%,-19%,High,99,0.56,1.93,,,,,,590,720,590,480,320,170,260,260,480,480,480,480,deprioritize_rental
used commercial bounce houses for sale,USD,480,0%,-45%,High,98,0.18,0.94,,,,,,720,590,720,480,390,260,260,320,480,480,590,480,primary
inflatable castle rental,USD,6600,0%,-91%,Medium,67,0.54,1.81,,,,,,33100,5400,6600,5400,8100,1300,1600,1900,3600,3600,3600,3600,deprioritize_rental
bounce house for sale near me,USD,720,0%,-12%,High,100,0.26,1.33,,,,,,1000,880,720,590,480,390,390,480,880,880,880,880,secondary
modern bounce house,USD,210,-35%,-35%,High,84,0.45,1.93,,,,,,260,210,260,210,140,140,210,170,260,260,170,170,other
big inflatable water slide,USD,1600,132%,0%,High,100,0.31,1.66,,,,,,3600,2400,1000,590,480,390,320,480,1300,1900,3600,4400,other
waterslide bounce house rentals,USD,210,177%,0%,High,95,0.82,2.11,,,,,,590,260,110,40,10,10,20,20,140,260,480,720,deprioritize_rental
indoor inflatable bounce house,USD,1000,22%,-18%,High,100,0.25,1.21,,,,,,720,880,880,1300,1900,1900,1600,1000,1000,590,590,720,other
bounce house water slide for sale,USD,720,122%,-33%,High,100,0.26,1.12,,,,,,1900,880,480,210,140,110,140,210,720,720,1000,1600,secondary
amazon bounce house,USD,1900,48%,-64%,High,100,0.15,0.60,,,,,,4400,1600,2900,1000,720,1000,1000,5400,880,880,1000,1300,other
water jump house,USD,9900,124%,-18%,High,100,0.35,1.65,,,,,,22200,8100,2900,1600,1300,1300,1900,3600,9900,12100,22200,27100,other
inflatable bounce house with slide,USD,720,22%,-32%,High,100,0.39,1.65,,,,,,880,1300,880,590,590,390,320,320,720,720,880,880,other
local bounce house rentals,USD,210,23%,23%,High,82,0.88,2.33,,,,,,210,260,320,260,110,40,90,90,260,260,260,320,deprioritize_rental
all white bounce house,USD,170,-33%,-46%,High,100,0.33,1.60,,,,,,210,170,170,140,90,90,140,140,170,210,170,140,other
big water slides for sale,USD,590,122%,60%,High,100,0.22,1.23,,,,,,1000,390,480,170,110,110,140,140,590,720,1000,1600,secondary
blow up water slide for adults,USD,4400,175%,-33%,High,100,0.28,1.59,,,,,,14800,4400,1600,590,390,480,590,880,3600,4400,8100,12100,other
bouncy slide rental,USD,480,50%,-18%,High,73,0.72,1.99,,,,,,720,720,590,480,210,110,170,210,390,480,720,720,deprioritize_rental
big bounce house for sale,USD,480,0%,-18%,High,100,0.22,0.96,,,,,,720,480,480,390,260,210,260,260,480,590,590,590,secondary
jumping balloons for sale,USD,170,-19%,0%,High,100,0.22,0.80,,,,,,210,170,170,210,140,110,170,170,260,260,210,210,secondary
bounce house rental prices,USD,1000,-23%,-23%,Medium,49,0.65,1.85,,,,,,1000,1300,1000,1000,720,480,720,720,1000,1300,1300,1000,deprioritize_rental
blow up water slide for sale,USD,4400,23%,-33%,High,100,0.27,1.28,,,,,,12100,4400,1900,720,590,590,3600,880,4400,6600,5400,8100,secondary
bouncers for sale,USD,320,-33%,-18%,High,100,0.28,1.40,,,,,,320,320,260,260,480,210,320,320,480,480,390,320,secondary
wholesale inflatables,USD,260,0%,24%,High,100,0.67,4.04,,,,,,210,260,480,260,260,140,170,170,390,260,320,260,primary
bounce house with water slide for adults,USD,590,82%,-16%,High,100,0.29,1.65,,,,,,1300,590,210,140,140,140,210,210,720,880,1300,1600,other
inflatable obstacle course for sale,USD,390,-19%,-19%,High,100,0.33,2.25,,,,,,880,390,390,320,260,170,260,320,480,480,480,390,secondary
blow up jump house,USD,12100,-18%,-18%,High,99,0.30,1.59,,,,,,14800,18100,14800,12100,9900,9900,8100,8100,14800,14800,14800,12100,other
bounce house cost,USD,1300,-19%,-19%,High,100,0.22,1.65,,,,,,1300,1300,1300,1300,880,720,880,880,1300,1600,1600,1300,other
wholesale commercial water slides for sale,USD,210,84%,181%,High,100,0.39,2.79,,,,,,210,50,110,70,40,30,70,90,320,320,480,590,primary
castle bounce house rental,USD,140,0%,-35%,High,100,0.80,1.97,,,,,,210,170,210,110,90,70,140,140,170,170,210,170,deprioritize_rental
bounce house rental cost,USD,590,-18%,-18%,Medium,49,0.66,1.84,,,,,,590,720,720,480,480,260,390,480,720,720,720,590,deprioritize_rental
inflatable water bounce house,USD,590,82%,-16%,High,100,0.39,1.75,,,,,,1300,880,140,90,90,70,110,210,720,880,1300,1600,other
large water slide,USD,1300,81%,-19%,High,100,0.31,1.67,,,,,,2900,1300,1000,720,590,590,720,590,1300,1600,2400,2900,other
blow up house,USD,4400,0%,50%,High,100,0.14,1.50,,,,,,4400,3600,4400,5400,4400,3600,3600,4400,4400,6600,5400,6600,other
commercial jumpers for sale,USD,170,-47%,-47%,High,100,0.32,2.41,,,,,,210,140,170,140,260,90,210,260,260,170,110,90,primary
affordable bounce house rentals,USD,320,0%,23%,High,67,0.89,2.21,,,,,,480,390,320,260,210,140,260,170,390,480,480,480,deprioritize_rental
custom bounce house,USD,140,-21%,-35%,High,92,1.96,11.37,,,,,,140,140,260,140,110,110,140,90,140,140,110,110,primary
professional bounce house,USD,140,24%,-34%,High,100,0.25,1.06,,,,,,210,170,140,140,110,90,90,90,140,170,210,210,other
bounce houses for rent under $100 near me,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,10,10,10,10,20,10,0,0,deprioritize_rental
commercial bouncy castle for sale,USD,30,25%,-29%,High,100,0.33,2.66,,,,,,50,40,20,20,20,20,10,30,30,40,30,50,primary
inflatable manufacturers usa,USD,70,-43%,-43%,High,93,1.84,6.99,,,,,,70,110,210,90,110,50,50,40,50,70,40,40,primary
neutral bounce house,USD,70,-29%,-55%,High,100,0.29,1.38,,,,,,90,70,90,90,90,70,50,70,90,70,50,50,other
water bounce house rental near me,USD,390,171%,-19%,High,98,0.70,2.00,,,,,,1000,480,110,30,10,10,70,90,260,480,880,1300,deprioritize_rental
giant bounce house,USD,1000,60%,0%,High,100,0.24,1.51,,,,,,1600,1300,1300,880,720,480,720,720,880,1000,1300,1600,other
bounce house with pool,USD,320,49%,-12%,High,100,0.32,1.55,,,,,,720,320,140,70,70,40,110,170,390,590,590,880,other
bounce house company,USD,320,0%,0%,High,80,0.88,3.51,,,,,,480,390,390,260,170,140,260,170,320,480,390,480,other
bounce house business for sale,USD,140,-33%,-46%,High,96,0.54,2.93,,,,,,170,170,140,110,110,90,110,110,140,210,170,140,secondary
bounce water slide rental,USD,170,127%,-18%,High,99,0.76,1.99,,,,,,480,210,50,10,20,10,10,30,110,260,390,590,deprioritize_rental
inflatable water slide rentals near me,USD,18100,123%,0%,Medium,56,0.69,1.97,,,,,,49500,22200,9900,6600,720,2400,8100,8100,18100,22200,33100,49500,deprioritize_rental
inflatable axe throwing,USD,480,0%,-19%,High,100,0.39,2.30,,,,,,590,720,590,720,260,210,320,260,480,480,590,480,other
inflatable jumper,USD,590,0%,-18%,High,100,0.28,1.57,,,,,,880,720,590,720,590,480,480,480,720,720,720,720,other
inflatable playhouse,USD,480,23%,0%,High,99,0.30,1.81,,,,,,480,390,390,390,390,480,390,390,390,480,480,590,other
unicorn bounce house rental near me,USD,90,22%,0%,High,100,0.71,1.88,,,,,,140,110,90,70,50,30,70,50,140,90,110,110,deprioritize_rental
bounce house prices,USD,1300,-19%,-19%,High,100,0.22,1.65,,,,,,1300,1300,1300,1300,880,720,880,880,1300,1600,1600,1300,other
commercial bounce house packages,USD,40,0%,-40%,Medium,64,0.89,3.11,,,,,,50,50,70,40,50,20,20,10,30,30,30,30,primary
buy commercial bounce house,USD,2900,0%,0%,High,100,0.31,1.83,,,,,,3600,2900,2900,2900,1900,1600,1900,2400,3600,3600,3600,3600,primary
backyard bounce house,USD,590,22%,22%,High,100,0.39,1.57,,,,,,590,480,480,480,390,590,260,260,720,720,880,880,other
water jump house rental,USD,90,86%,-33%,High,96,0.76,1.99,,,,,,260,140,30,10,10,10,10,20,110,140,170,260,deprioritize_rental
best bounce house rentals near me,USD,110,0%,27%,High,83,0.90,2.88,,,,,,110,110,110,110,50,40,70,70,110,140,170,140,deprioritize_rental
commercial jump house,USD,3600,23%,0%,High,100,0.29,1.54,,,,,,5400,4400,3600,3600,2400,1600,2400,2400,4400,4400,5400,5400,primary
construction bounce house,USD,210,-18%,-46%,High,100,0.68,2.05,,,,,,320,320,320,210,140,90,210,170,210,170,140,140,other
commercial inflatable water slides for adults,USD,210,127%,-18%,High,100,0.36,1.79,,,,,,390,140,170,70,90,40,90,110,260,260,390,590,primary
heavy duty bounce house,USD,260,0%,0%,High,99,0.30,1.14,,,,,,210,260,390,210,260,140,110,320,480,320,320,320,other
wholesale bounce houses packages,USD,20,-50%,-71%,High,98,0.45,2.51,,,,,,30,20,10,20,10,10,40,20,40,40,40,20,primary
inflatable party house,USD,590,0%,-19%,High,99,0.18,1.69,,,,,,480,480,720,720,480,590,590,390,590,480,590,480,other
commercial bounce house water slide,USD,90,189%,-33%,High,100,0.30,1.62,,,,,,260,170,50,30,20,20,10,20,90,90,140,260,primary
adult bouncy castles,USD,210,0%,-19%,High,91,0.32,1.79,,,,,,260,210,210,210,140,90,140,90,210,260,260,260,other
water jumpers for sale,USD,210,181%,-18%,High,100,0.20,1.02,,,,,,480,260,70,20,30,20,50,140,480,210,320,590,secondary
blow up house rental,USD,170,-33%,-33%,High,85,0.64,1.88,,,,,,210,210,260,170,90,50,90,110,210,210,170,140,deprioritize_rental
white bounce house with slide,USD,210,-19%,-19%,High,100,0.47,1.85,,,,,,260,260,320,260,170,140,210,210,260,260,170,210,other
obstacle bounce house,USD,4400,0%,0%,High,100,0.57,1.91,,,,,,4400,5400,5400,4400,3600,2400,2900,3600,5400,5400,6600,5400,other
