keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
jungle combo bounce house,USD,10,0%,-67%,High,100,0.50,1.79,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
jungle gym bounce house,USD,20,0%,0%,High,80,,,,,,,,10,30,70,20,50,40,10,10,20,10,10,10,other
jungle inflatable bounce house,USD,10,0%,0%,High,100,,,,,,,,10,20,10,10,10,10,10,0,10,10,10,10,other
jungle theme bounce house,USD,40,0%,0%,High,100,0.62,1.99,,,,,,40,40,40,20,30,30,30,30,30,50,40,50,other
kiddiepillar,USD,10,-67%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,30,10,10,other
la inflatables,USD,10,0%,0%,Low,14,,,,,,,,10,20,10,20,10,10,10,10,10,10,10,10,other
large adult water slide,USD,20,350%,80%,High,100,0.28,1.59,,,,,,40,20,10,10,0,10,10,10,10,20,50,90,other
large blow up water slide for sale,USD,90,55%,-35%,High,100,0.27,1.09,,,,,,210,140,40,20,10,20,10,30,70,110,140,170,secondary
large bouncy castle to buy,USD,20,0%,-60%,High,94,0.28,1.69,,,,,,30,20,10,10,10,10,10,10,10,20,30,20,other
large commercial inflatable water slides,USD,10,0%,0%,High,100,0.64,3.75,,,,,,10,0,0,0,0,0,0,10,10,10,10,10,primary
large commercial water slides for sale,USD,10,0%,0%,High,100,0.38,1.39,,,,,,10,10,10,0,0,0,10,0,10,10,20,10,primary
large inflatable jump house,USD,10,0%,0%,High,100,0.17,0.94,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
large inflatable playground,USD,10,0%,-50%,High,95,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
large obstacle course inflatable,USD,30,0%,-20%,High,100,0.41,1.74,,,,,,30,30,30,20,10,10,10,20,30,40,50,40,other
largest inflatable bounce house,USD,390,23%,-19%,High,100,0.29,1.59,,,,,,590,590,720,480,320,210,260,170,320,390,480,480,other
licensed bounce houses for sale,USD,10,0%,0%,Unknown,,,,,,,,,10,10,0,10,10,10,0,0,0,0,0,0,secondary
licensed inflatables,USD,10,-50%,0%,High,68,0.63,5.00,,,,,,10,10,10,10,10,10,10,10,10,20,10,10,other
light up bounce house,USD,10,0%,0%,High,100,,,,,,,,10,10,20,10,10,10,10,10,10,10,10,10,other
local inflatables,USD,20,50%,0%,Low,33,0.84,1.60,,,,,,40,20,10,20,10,10,10,10,20,20,30,30,other
magic jump water slides,USD,40,-88%,0%,High,81,1.00,2.50,,,,,,20,10,10,10,10,10,10,10,140,170,30,20,other
massive bounce house,USD,1000,60%,0%,High,100,0.24,1.51,,,,,,1600,1300,1300,880,720,480,720,720,880,1000,1300,1600,other
mermaid bounce house water slide,USD,10,-33%,0%,High,100,0.62,2.68,,,,,,30,10,10,0,10,0,10,10,10,30,10,20,other
mini bounce house rentals,USD,390,-18%,0%,High,100,0.91,2.00,,,,,,390,480,590,320,260,170,390,320,390,390,390,320,deprioritize_rental
mini bounce house with slide,USD,40,0%,33%,High,100,0.19,1.03,,,,,,30,40,30,50,110,30,50,30,40,40,50,40,other
mini golf inflatable,USD,20,-50%,-67%,Medium,57,,,,,,,,30,30,10,20,10,10,10,10,20,20,20,10,other
mini jumpers for sale,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10,secondary
modular bounce house,USD,70,0%,0%,High,100,0.52,2.44,,,,,,70,90,70,30,40,70,70,50,90,90,110,90,other
monster truck bouncer,USD,30,-40%,200%,High,100,0.96,3.51,,,,,,20,40,20,40,20,10,20,20,20,50,40,30,other
monster truck inflatable bounce house,USD,110,-50%,0%,High,100,0.56,1.93,,,,,,110,170,140,90,70,50,70,110,170,140,110,70,other
moon bounce blowers for sale,USD,10,0%,0%,High,100,0.15,0.66,,,,,,10,10,10,10,10,0,10,0,10,10,10,10,secondary
moon bounce business,USD,10,0%,-50%,Medium,56,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,other
moon bounce castle,USD,90,0%,-21%,High,100,0.55,2.08,,,,,,110,140,90,70,90,50,90,70,90,110,140,110,other
